group,area_id,area,truth_models,top1_model,top1_sim,top1_wr,hit_top1,hit_top3,wr_dev_pct
G3,1,补连塔12514,ZY21000/38/82D,ZY21000/38/82D,0.9112,21000,True,True,0.0
G3,2,补连塔22304,ZY21000/38/82D,ZF15000/25/45,0.9181,15000,False,True,28.6
G3,3,曹家滩122106,ZY21000/38/82D,ZY12000/28/58,0.7125,12000,False,True,42.9
G3,4,塔山8102,ZF15000/25/45,ZY21000/38/82D,0.8184,21000,False,True,40.0
G3,5,兴隆庄4301,ZF15000/25/45,ZY21000/38/82D,0.8678,21000,False,True,40.0
G3,7,东滩矿,ZF15000/25/45,ZY12000/28/58,0.8393,12000,False,True,20.0
G3,9,金鸡滩,ZY21000/38/82D,ZY21000/38/82D,0.8446,21000,True,True,0.0
G3,11,潞安王庄,ZF15000/25/45,ZF15000/25/45,0.7808,15000,True,True,0.0
G3,12,潞安屯留,ZF15000/25/45,ZF15000/25/45,0.7808,15000,True,True,0.0
G3,14,淮北涡北,ZY12000/28/58,ZY21000/38/82D,0.7116,21000,False,True,75.0
G3,15,新汶华丰1411,ZYA29000/45/100D,ZYA29000/45/100D,0.5955,29000,True,True,0.0
G3,17,义马耿村13230,ZYA29000/45/100D,ZYA29000/45/100D,0.9288,29000,True,True,0.0
G3,18,淮南顾桥1313(3),ZY12000/28/58,ZY21000/38/82D,0.8298,21000,False,True,75.0
