area,face,actual,rank,hit1,hit3,near,top1,reason
义马千秋21121,义马千秋21121工作面,ZYA29000/45/100D,1,1,1,0,ZYA29000/45/100D,
义马千秋21121,义马千秋21121工作面,ZYA29000/45/100D,1,1,1,0,ZYA29000/45/100D,
大宁3#四五采区,四五采区,ZY12000/25/55D,未中,0,0,1,ZF7200/17/33,架型不符:Top1系列不同
平朔安家岭,平朔安家岭工作面,ZY12000/28/58,未中,0,0,0,ZF9000/24/40,架型不符:Top1系列不同
平朔安家岭,平朔安家岭工作面,ZY12000/28/58,未中,0,0,0,ZF9000/24/40,架型不符:Top1系列不同
晋城寺河,晋城寺河工作面,ZY21000/38/82D,未中,0,0,0,ZF9000/24/40,架型不符:Top1系列不同
晋城寺河,晋城寺河工作面,ZY21000/38/82D,未中,0,0,0,ZF9000/24/40,架型不符:Top1系列不同
朱仙庄II1034,II1034,ZY6800/19/40,1,1,1,0,ZY6800/19/40,
神东黄玉川,神东黄玉川工作面,ZF15000/25/45,1,1,1,0,ZF15000/25/45,
神东黄玉川,神东黄玉川工作面,ZF15000/25/45,1,1,1,0,ZF15000/25/45,
谢桥1341(3),1341(3),ZY10800/30/65D,未中,0,0,0,ZY12000/28/58,权重不当:参数接近但排名靠后
鲍店1316,鲍店1316工作面,ZF15000/25/45,1,1,1,0,ZF15000/25/45,
鲍店1316,鲍店1316工作面,ZF15000/25/45,1,1,1,0,ZF15000/25/45,
龙固2301,2301,ZF15000/23/43,未中,0,0,1,ZY12000/28/58,架型不符:Top1系列不同
