table,column,raw_value,rows
working_conditions,gas_level,涌出量大,1
mining_areas,gas_level,涌出量大,1
working_conditions,roof_condition,浅埋薄基岩,2
working_conditions,roof_condition,浅埋,1
working_conditions,roof_condition,深部,1
working_conditions,roof_condition,复杂,1
working_conditions,roof_condition,冲击,2
working_conditions,roof_condition,特厚煤层综放,1
working_conditions,roof_condition,"直接顶粉砂岩,基本顶中细砂岩",1
working_conditions,roof_condition,顶板泥岩粉砂岩,1
working_conditions,roof_condition,直接顶中粒砂岩,1
mining_areas,roof_category,浅埋薄基岩,2
mining_areas,roof_category,浅埋,2
mining_areas,roof_category,深部,1
mining_areas,roof_category,复杂,1
mining_areas,roof_category,冲击,2
mining_areas,roof_category,顶板泥岩粉砂岩,1
mining_areas,roof_category,直接顶中粒砂岩,1
