model,R_kN,B_m,L_m,q_db_MPa,q_calc_MPa,dev_pct,L_tier
ZYR200/16/32,200.0,1.5,4.2,0.5,0.0317,-93.7,估算L
ZY2500/13/32,2500.0,1.5,4.2,0.43,0.3968,-7.7,估算L
ZY3000/13/22,3000.0,1.5,4.2,0.51,0.4762,-6.6,估算L
ZY3200/13/32,3200.0,1.5,4.2,0.485,0.5079,4.7,估算L
ZY3400/09/22,3400.0,1.5,4.2,0.5,0.5397,7.9,估算L
ZY4000/11/25,4000.0,1.5,4.2,0.585,0.6349,8.5,估算L
ZY4000/15/32,4000.0,1.5,4.2,0.625,0.6349,1.6,估算L
ZY4000/16/35,4000.0,1.5,4.2,0.625,0.6349,1.6,估算L
ZY4000/17.5/38,4000.0,1.5,4.2,0.7,0.6349,-9.3,估算L
ZYB4400/8.5/18,4400.0,1.5,4.2,0.766,0.6984,-8.8,估算L
ZY4800/09/21,4800.0,1.5,4.2,0.625,0.7619,21.9,估算L
ZY5200/12/28,5200.0,1.5,4.2,0.695,0.8254,18.8,估算L
ZYG5200/12/28,5200.0,1.5,4.4,0.57,0.7879,38.2,估算L
ZYT5200/15/30D,5200.0,1.5,4.4,0.525,0.7879,50.1,估算L
ZZ6400/18/38,6400.0,1.5,4.5,0.895,0.9481,5.9,估算L
ZF6400/19/30,6400.0,1.5,5.2,0.94,0.8205,-12.7,估算L
ZFS6500/18/35,6500.0,1.5,5.4,0.835,0.8025,-3.9,估算L
ZY6800/17/35,6800.0,1.5,4.2,0.92,1.0794,17.3,实测L
ZY6800/09/18,6800.0,1.5,4.2,0.845,1.0794,27.7,估算L
ZY6800/08/15.5,6800.0,1.5,3.9,0.75,1.1624,55.0,估算L
ZY6800/14/32,6800.0,1.5,4.2,1.02,1.0794,5.8,估算L
ZY6800/15/32,6800.0,1.75,4.2,0.965,0.9252,-4.1,估算L
ZY6800/18/38,6800.0,1.5,4.2,0.965,1.0794,11.9,估算L
ZY6800/24/50,6800.0,1.5,4.8,0.94,0.9444,0.5,估算L
ZF7200/20/32,7200.0,1.5,5.2,0.98,0.9231,-5.8,估算L
ZZ7800/22/45,7800.0,1.5,4.5,1.035,1.1556,11.6,估算L
ZF7800/16/28,7800.0,1.5,5.2,0.94,1.0,6.4,估算L
ZY8000/13/26,8000.0,1.5,4.2,1.06,1.2698,19.8,估算L
ZY9000/20/40,9000.0,1.75,4.8,1.0225,1.0714,4.8,估算L
ZF9000/19/38,9000.0,1.5,5.4,1.195,1.1111,-7.0,估算L
ZY9000/24/50,9000.0,1.75,4.8,1.055,1.0714,1.6,估算L
ZY9000/20/40D,9000.0,1.5,4.8,1.0225,1.25,22.2,估算L
ZF10000/25/38,10000.0,1.75,5.4,1.04,1.0582,1.8,估算L
ZY10800/28/63D,10800.0,1.75,4.8,1.08,1.2857,19.0,估算L
ZY12000/28/58,12000.0,1.5,4.8,1.29,1.6667,29.2,实测L
ZY12000/28/62D,12000.0,1.5,4.8,1.17,1.6667,42.5,实测L
ZY12000/20/40,12000.0,1.75,4.8,1.305,1.4286,9.5,估算L
ZY12000/22/45D,12000.0,1.75,4.8,1.2,1.4286,19.0,估算L
ZY12000/15/30D,12000.0,1.75,4.2,1.215,1.6327,34.4,估算L
ZY12000/28/62,12000.0,1.75,4.8,1.38,1.4286,3.5,估算L
ZY12000/28/64D,12000.0,1.75,4.8,1.295,1.4286,10.3,估算L
ZY12000/25/50D,12000.0,1.75,4.8,1.21,1.4286,18.1,估算L
ZY13000/27/60D,13000.0,1.75,4.8,1.435,1.5476,7.8,估算L
ZY13000/28/63,13000.0,1.75,4.8,1.25,1.5476,23.8,估算L
ZY13000/30/65D,13000.0,1.75,4.8,1.39,1.5476,11.3,估算L
ZZ13000/28/60,13000.0,1.75,4.5,1.26,1.6508,31.0,估算L
ZF13000/25/38,13000.0,1.75,5.4,1.23,1.3757,11.8,估算L
ZF13000/22/42,13000.0,1.75,5.4,1.315,1.3757,4.6,估算L
ZF15000/25/45,15000.0,1.75,5.2,1.46,1.6484,12.9,实测L
ZY15000/28/55D,15000.0,1.75,4.8,1.29,1.7857,38.4,估算L
ZF15000/27.5/42,15000.0,1.75,5.4,1.46,1.5873,8.7,估算L
ZY15000/26/50D,15000.0,1.75,4.8,1.605,1.7857,11.3,估算L
ZY18000/25/45D,18000.0,2.05,4.8,1.52,1.8293,20.3,估算L
ZY18000/32/70D,18000.0,2.05,4.8,1.63,1.8293,12.2,估算L
ZF18000/23/42D,18000.0,1.75,5.4,1.67,1.9048,14.1,估算L
ZFY18000/28/53D,18000.0,2.05,5.4,1.53,1.626,6.3,估算L
ZZ20000/28/62D,20000.0,1.75,4.5,1.73,2.5397,46.8,估算L
ZY21000/38/82D,21000.0,2.05,4.8,1.45,2.1341,47.2,估算L
ZY21000/33.5/70D,21000.0,2.05,4.8,1.685,2.1341,26.7,估算L
ZY26000/40/88D,26000.0,2.4,4.8,1.77,2.2569,27.5,估算L
ZYA29000/45/100D,29000.0,2.4,4.8,1.915,2.5174,31.5,估算L
