id,area_name,name,coal_thickness,category,depth,mining_height_min,mining_height_max,dip_angle,hardness_f,roof_category,roof_class,floor_pressure,mine_pressure,gas_level,gas_level_norm,face_length,support_model,source,mine_name,location,created_at,is_test,adcode,lng,lat
1,补连塔12514,补连塔12514,8.80,浅埋大采高,277.00,,,2.0,2.50,浅埋薄基岩,,2.8,来压剧烈,低瓦斯,低瓦斯,327.70,,补连塔煤矿矿压规律分析方法应用研究,,,2026-07-31 15:42:45,0,150600,109.7813,39.6086
2,补连塔22304,补连塔22304,6.80,浅埋大采高,285.00,,,2.0,2.30,浅埋薄基岩,,2.5,来压明显,低瓦斯,低瓦斯,301.00,,神东矿区世界一流矿井建设示范经验及实用技术,,,2026-07-31 15:42:45,0,150600,109.7813,39.6086
3,曹家滩122106,曹家滩122106,9.80,超大采高,180.00,,,,1.80,坚硬,4类-坚硬,3.5,强矿压初次来压150m,,,300.00,,中国煤炭科工集团10m超大采高工作面技术装备,,,2026-07-31 15:42:45,0,610800,109.7346,38.2853
4,塔山8102,塔山8102,3.50,坚硬顶板综放,350.00,,,3.0,3.00,坚硬,4类-坚硬,4,平均来压步距16m,低瓦斯煤层涌出量大,低瓦斯,231.00,,塔山矿特厚煤层综放开采矿压显现规律初步研究,,,2026-07-31 15:42:45,0,140200,113.3001,40.0768
5,兴隆庄4301,兴隆庄4301,9.40,综放,420.00,,,5.0,2.30,中等稳定,2类-中等稳定,3.2,来压明显,,,176.00,,兖州矿区综放面端头及两巷超前液压支架研制与应用,,,2026-07-31 15:42:45,0,370800,116.5872,35.4149
6,鲍店1316,鲍店1316,8.74,综放,450.00,,,6.5,3.50,中等稳定,2类-中等稳定,3.5,来压平缓,,,170.00,,兖州矿区综放面端头及两巷超前液压支架研制与应用,,,2026-07-31 15:42:45,1,370800,116.5872,35.4149
7,东滩矿,东滩矿,6.50,综放,380.00,,,5.5,2.80,中等稳定,2类-中等稳定,3,来压平缓,,,250.00,,我国综放开采40年及展望(煤炭学报2023),,,2026-07-31 15:42:45,0,370800,116.5872,35.4149
8,晋城寺河,晋城寺河,5.60,高瓦斯大采高,520.00,,,,2.50,破碎,1类-不稳定,2.8,来压明显,高瓦斯(400m3/min),高瓦斯,180.00,,山西日报2004寺河煤矿报道;厚煤层开采技术文献,,,2026-07-31 15:42:45,1,140500,112.8513,35.4975
9,金鸡滩,金鸡滩,7.00,大采高综放,200.00,,,1.0,1.50,浅埋,,2.5,来压平缓,,,300.00,,我国综放开采40年及展望(煤炭学报2023),,,2026-07-31 15:42:45,0,610800,109.7346,38.2853
10,平朔安家岭,平朔安家岭,13.14,浅埋硬煤,220.00,,,,2.50,坚硬,4类-坚硬,3,来压明显,,,300.00,,我国综放开采40年及展望;特大型矿井建设文献,,,2026-07-31 15:42:45,1,140600,112.4333,39.3313
11,潞安王庄,潞安王庄,,综放,480.00,,,,3.50,中等稳定,2类-中等稳定,3.8,来压明显,涌出量大,,270.00,,我国综放开采40年的重大创新(2022),,,2026-07-31 15:42:45,0,140400,113.1136,36.1911
12,潞安屯留,潞安屯留,,综放,500.00,,,,3.80,中等稳定,2类-中等稳定,4,来压平缓,,,220.00,,创新煤炭安全高效开发技术支撑特大型矿井建设,,,2026-07-31 15:42:45,0,140400,113.1136,36.1911
13,神东黄玉川,神东黄玉川,3.50,综放缓斜,260.00,,,8.5,2.20,浅埋,,2.8,来压平缓,,,260.00,,我国综放开采40年及展望(煤炭学报2023),,,2026-07-31 15:42:45,1,150600,109.7813,39.6086
14,淮北涡北,淮北涡北,10.00,极软复杂,600.00,,,,0.20,复杂,,5,来压剧烈,,,150.00,,我国综放开采40年及展望(煤炭学报2023),,,2026-07-31 15:42:45,0,341600,115.7786,33.8694
15,新汶华丰1411,新汶华丰1411,6.20,冲击地压深部,800.00,,,32.0,4.50,深部,,6,强冲击倾向,,,120.00,,基于贝叶斯神经网络的冲击地压预测(中国矿业2022),,,2026-07-31 15:42:45,0,370900,117.0881,36.1999
16,义马千秋21121,义马千秋21121,23.40,冲击地压,650.00,,,11.0,3.50,冲击,,5.5,重大冲击事故,低瓦斯,低瓦斯,130.00,,安监总煤调[2011]171号通报;煤炭学报冲击地压文献,,,2026-07-31 15:42:45,0,411200,111.2014,34.7735
17,义马耿村13230,义马耿村13230,23.40,冲击地压,620.00,,,11.0,3.20,冲击,,5,冲击停产,,,196.00,,冲击地压煤矿深部开采煤岩动力灾害(煤炭学报),,,2026-07-31 15:42:45,0,411200,111.2014,34.7735
