id,model,type,working_resistance,height_min,height_max,manufacturer,created_at,center_dist,canopy_len,intensity,initial_force,floor_pressure,weight,source,data_status
1,ZY12000/28/58,掩护式,12000,2.80,5.80,郑煤机,2026-07-30 16:23:22,1.50,4.80,1.27~1.31,,,45.9,同系列ZY12000/28/64D平阳重工技术协议参照(文档网) 原始值:1.27~1.31MPa,verified
2,ZY8000/20/40,支撑掩护式,8000,2.00,4.00,北煤机,2026-07-30 16:23:22,1.50,4.20,1.27,,,,公开资料未查到支护强度参数(2026-08四轮检索:郑煤机/天地/北煤机/期刊论文) | 支护强度未查到公开参数(202… | 支护强度按P/(B·L)复算估算(上限口径),verified
3,ZZ10000/25/50,支撑式,10000,2.50,5.00,平煤机,2026-07-30 16:23:22,1.50,4.50,1.48,,,,公开资料未查到支护强度参数(2026-08四轮检索:郑煤机/天地/北煤机/期刊论文) | 支护强度未查到公开参数(202… | 支护强度按P/(B·L)复算估算(上限口径),verified
4,ZY12000/28/62D,掩护式,12000,2.80,6.20,郑煤机,2026-07-30 19:33:53,1.50,4.80,1.15~1.19,,,,"山东卓力工矿型谱表ZY12000/28/62同型参照(D为电液控变型) 原始值:1.15~1.19 | W27-D6存疑:与库内ZY12000/28/62(1.75)不一致,待厂商核实",verified
5,ZZ9600/22/45,支撑掩护式,9600,2.20,4.50,北煤机,2026-07-30 19:33:53,1.50,4.50,1.42,,,,公开资料未查到支护强度参数(2026-08四轮检索:郑煤机/天地/北煤机/期刊论文) | 支护强度未查到公开参数(202… | 支护强度按P/(B·L)复算估算(上限口径),verified
6,ZF15000/25/45,放顶煤,15000,2.50,4.50,平煤机,2026-07-30 19:33:53,1.75,5.20,1.46,,,,砂墩子煤矿综放工作面设备选型论文(中国煤炭期刊网) 原始值:1.46,verified
7,ZY6800/17/35,掩护式,6800,1.70,3.50,郑煤机,2026-07-30 19:33:53,1.50,4.20,0.92,,,, | 找煤机网郑煤机型谱表(搜狐转载) 原始值:0.9～0.94,verified
8,ZZ5200/13/28,支撑掩护式,5200,1.30,2.80,北煤机,2026-07-30 19:33:53,1.50,3.60,0.96,,,,公开资料未查到支护强度参数(2026-08四轮检索:郑煤机/天地/北煤机/期刊论文) | 支护强度未查到公开参数(202… | 支护强度按P/(B·L)复算估算(上限口径),verified
9,ZY2200/8.5/17,掩护式,2200,0.85,1.70,,2026-07-31 15:31:24,1.50,3.90,0.38,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
10,ZY3200/07/15,掩护式,3200,0.70,1.50,,2026-07-31 15:31:24,1.50,3.90,0.55,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
11,ZY3400/08/20,掩护式,3400,0.80,2.00,,2026-07-31 15:31:24,1.50,4.20,0.54,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
12,ZY4000/07/15,掩护式,4000,0.70,1.50,,2026-07-31 15:31:24,1.50,3.90,0.68,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
13,ZY4800/8.5/19,掩护式,4800,0.85,1.90,,2026-07-31 15:31:24,1.50,4.20,0.76,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
14,ZY6800/08/18,掩护式,6800,0.80,1.80,,2026-07-31 15:31:24,1.50,4.20,1.08,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
15,ZY6800/9.5/19,掩护式,6800,0.95,1.90,,2026-07-31 15:31:24,1.50,4.20,1.08,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
16,ZY9200/09/18D,掩护式,9200,0.90,1.80,,2026-07-31 15:31:24,1.75,4.20,1.25,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
17,ZY6800/09/18,掩护式,6800,0.90,1.80,,2026-07-31 15:31:24,1.50,4.20,0.8~0.89,,,,郑煤机综机官网型谱(zmjzj.com) 原始值:0.8~0.89 | 控顶长度按架型经验估算,verified
18,ZY6800/08/15.5,掩护式,6800,0.80,1.55,,2026-07-31 15:31:24,1.50,3.90,0.7~0.8,5064,2.5~3.6,,采矿与岩层控制工程学报2013 | 控顶长度按架型经验估算,verified
19,ZYB4400/8.5/18,掩护式,4400,0.85,1.80,,2026-07-31 15:31:24,1.50,4.20,0.766,3860,,9.22,专利CN102094647B | 控顶长度按架型经验估算,verified
20,ZJY2400/8.5/15.5,掩护式(急倾斜),2400,0.85,1.55,,2026-07-31 15:31:24,1.50,3.90,0.41,,,,"中国矿业期刊 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
21,ZY3400/09/22,掩护式,3400,0.90,2.20,,2026-07-31 15:31:24,1.50,4.20,0.5,,,,郑煤机型谱 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:0.45～0.55 | 控顶长度按架型经验估算,verified
22,ZY3400/11/25,掩护式,3400,1.10,2.50,,2026-07-31 15:31:24,1.50,4.20,0.54,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
23,ZY3400/12/28,掩护式,3400,1.20,2.80,,2026-07-31 15:31:24,1.50,4.20,0.54,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
24,ZY4000/09/21,掩护式,4000,0.90,2.10,,2026-07-31 15:31:24,1.50,4.20,0.63,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
25,ZY4000/10/24,掩护式,4000,1.00,2.40,,2026-07-31 15:31:24,1.50,4.20,0.63,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
26,ZY4000/12/28,掩护式,4000,1.20,2.80,,2026-07-31 15:31:24,1.50,4.20,0.63,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
27,ZY5200/10/24,掩护式,5200,1.00,2.40,,2026-07-31 15:31:24,1.50,4.20,0.83,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
28,ZY5200/13/27,掩护式,5200,1.30,2.70,,2026-07-31 15:31:24,1.50,4.20,0.83,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
29,ZY5200/14/28,掩护式,5200,1.40,2.80,,2026-07-31 15:31:24,1.50,4.20,0.83,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
30,ZY6800/11/22,掩护式,6800,1.10,2.20,,2026-07-31 15:31:24,1.50,4.20,1.08,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
31,ZY6800/12/25,掩护式,6800,1.20,2.50,,2026-07-31 15:31:24,1.50,4.20,1.08,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
32,ZY6800/14/28,掩护式,6800,1.40,2.80,,2026-07-31 15:31:24,1.50,4.20,1.08,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
33,ZY6800/14/32,掩护式,6800,1.40,3.20,,2026-07-31 15:31:24,1.50,4.20,1.02,,,,液压支架型号大全(百度文库) | 找煤机网郑煤机型谱表(搜狐转载) 原始值:0.97～1.07 | 控顶长度按架型经验估算,verified
34,ZY6800/15/32,掩护式,6800,1.50,3.20,,2026-07-31 15:31:24,1.75,4.20,0.91~1.02,,,,郑煤机综机型谱表(zmjzj.com) 原始值:0.91~1.02 | 控顶长度按架型经验估算,verified
35,ZY6800/18/38,掩护式,6800,1.80,3.80,,2026-07-31 15:31:24,1.50,4.20,0.91~1.02,,,,郑煤机综机官网型谱(zmjzj.com) 原始值:0.91~1.02 | 控顶长度按架型经验估算,verified
